"item1"	"item2"	"correlation"
"65"	"kiderül"	"levél"	0.115297069657948
"66"	"fordul"	"levél"	0.231439288385605
"67"	"kér"	"levél"	0.127722574347919
"68"	"név"	"levél"	0.180679284260778
"69"	"közöl"	"levél"	0.103994960846677
"70"	"mindeközben"	"levél"	0.128824536401638
"71"	"érintett"	"levél"	0.211093747078555
"72"	"politikus"	"levél"	0.105295321889906
"73"	"késon"	"levél"	0.121098336786702
"74"	"közösségi"	"levél"	0.150233121245833
"75"	"kap"	"levél"	0.149854243033105
"76"	"ír"	"levél"	0.188515763469598
"77"	"olvas"	"levél"	0.111103984197165
"78"	"ad"	"levél"	0.133139801841321
"79"	"jános"	"levél"	0.114483030007331
"80"	"nap"	"levél"	0.166992739902628
"81"	"olvasható"	"levél"	0.143416475774123
"82"	"írt"	"levél"	0.249759175595185
"83"	"megoszt"	"levél"	0.1485217657142
"84"	"vélemény"	"levél"	0.204958262116917
"85"	"tartalom"	"levél"	0.11820447704972
"86"	"tanár"	"levél"	0.19297543704756
"87"	"tudományos"	"levél"	0.135809167136268
"88"	"akadémia"	"levél"	0.197872356188902
"89"	"rendes"	"levél"	0.224216065403422
"90"	"tag"	"levél"	0.176974201703482
"91"	"nyilvánosság"	"levél"	0.1134122246121
"92"	"andrás"	"levél"	0.111054624108339
"93"	"foglalkozik"	"levél"	0.101157716261279
"94"	"különbözo"	"levél"	0.146895200887755
"95"	"doktor"	"levél"	0.230788032082953
"96"	"osztály"	"levél"	0.108662453439766
"97"	"niedermüller"	"levél"	0.183941277282493
"98"	"tamás"	"levél"	0.111827624005559
"99"	"nyílt"	"levél"	0.399795271230878
"100"	"meggyilkolás"	"levél"	0.105974258720292
"101"	"szülo"	"levél"	0.215994219820032
"102"	"fejez"	"levél"	0.117215957333049
"103"	"kislány"	"levél"	0.283654767086478
"104"	"iskola"	"levél"	0.146347145565487
"105"	"édesapa"	"levél"	0.23578392171022
"106"	"leír"	"levél"	0.18871623182881
"107"	"oktatás"	"levél"	0.175026576089454
"108"	"megszólal"	"levél"	0.15476648139587
"109"	"történet"	"levél"	0.122377922173419
"110"	"sztori"	"levél"	0.114663893736563
"111"	"rendezo"	"levél"	0.117193337904517
"112"	"legfeljebb"	"levél"	0.129043368450894
"113"	"kezdeményez"	"levél"	0.103437317576384
"114"	"kalmár"	"levél"	0.10826129478724
"115"	"diák"	"levél"	0.156879802180103
"116"	"érint"	"levél"	0.187916033094399
"117"	"mta"	"levél"	0.241463138111092
"118"	"tanuló"	"levél"	0.22219519290327
"119"	"pedagógus"	"levél"	0.172274312072232
"120"	"lát"	"megy"	0.149086725519369
"121"	"gondol"	"megy"	0.120081125535848
"122"	"kis"	"megy"	0.148128712790497
"123"	"is"	"megy"	0.289320068242285
"124"	"vesz"	"megy"	0.160490623151752
"125"	"szép"	"megy"	0.121184598616488
"126"	"épül"	"megy"	0.151025822182052
"127"	"oda"	"megy"	0.160432807730323
"128"	"találkozik"	"megy"	0.159547382509258
"129"	"vég"	"megy"	0.108864749020002
"130"	"arab"	"megy"	0.118216998476172
"131"	"szeret"	"megy"	0.118703642392453
"132"	"migráns"	"megy"	0.155212169774555
"133"	"mond"	"megy"	0.175716155994747
"134"	"mély"	"megy"	0.101055328573258
"135"	"jön"	"megy"	0.14609684692704
"136"	"ha"	"megy"	0.242567740207081
"137"	"sot"	"megy"	0.112072724901327
"138"	"gyors"	"megy"	0.12001243330369
"139"	"talál"	"megy"	0.11561021505831
"140"	"hely"	"megy"	0.146468274532342
"141"	"ember"	"megy"	0.175060914851471
"142"	"elol"	"megy"	0.114715489454715
"143"	"menekülo"	"megy"	0.111723669369953
"144"	"visz"	"megy"	0.153366085029454
"145"	"menekült"	"megy"	0.154794835901181
"146"	"kerül"	"megy"	0.131444636657487
"147"	"gyerek"	"megy"	0.11325088180216
"148"	"fog"	"megy"	0.131791788533442
"149"	"annyira"	"megy"	0.102016013947437
"150"	"biztos"	"megy"	0.108769751938879
"151"	"két"	"megy"	0.127842882580477
"152"	"elindul"	"megy"	0.110436468800839
"153"	"kelet"	"megy"	0.11022256999069
"154"	"picsa"	"megy"	0.123180630404469
"155"	"senki"	"megy"	0.126335380514034
"156"	"közben"	"megy"	0.107907689182617
"157"	"mindeközben"	"megy"	0.121738265925812
"158"	"jár"	"megy"	0.128478541819733
"159"	"él"	"megy"	0.135692186354012
"160"	"tesz"	"megy"	0.164448971516541
"161"	"dolog"	"megy"	0.114548548457625
"162"	"kap"	"megy"	0.118955471717093
"163"	"elmondás"	"megy"	0.116208361268267
"164"	"akar"	"megy"	0.202499892904174
"165"	"inkább"	"megy"	0.186976511444346
"166"	"egészen"	"megy"	0.104943596144357
"167"	"út"	"megy"	0.121014638765385
"168"	"le"	"megy"	0.135036393672752
"169"	"nehogy"	"megy"	0.116571180184773
"170"	"ad"	"megy"	0.123485375311858
"171"	"nap"	"megy"	0.144954343149133
"172"	"old"	"megy"	0.109593667783499
"173"	"járó"	"megy"	0.102839652324541
"174"	"tud"	"megy"	0.226743384428547
"175"	"hív"	"megy"	0.109638121077253
"176"	"egyszeru"	"megy"	0.103066992921697
"177"	"ész"	"megy"	0.150392128037886
"178"	"szóval"	"megy"	0.11887099951915
"179"	"szó"	"megy"	0.128695024227836
"180"	"beszél"	"megy"	0.109888350688692
"181"	"bárki"	"megy"	0.103543997100447
"182"	"annyi"	"megy"	0.102207004182099
"183"	"szoba"	"megy"	0.119262785932894
"184"	"néz"	"megy"	0.123433542071987
"185"	"másnap"	"megy"	0.112676978777577
"186"	"iroda"	"megy"	0.140098975578569
"187"	"gyermek"	"megy"	0.141186379965305
"188"	"végig"	"megy"	0.121188438826383
"189"	"kezd"	"megy"	0.128240290216299
"190"	"lakó"	"megy"	0.135465978030077
"191"	"szól"	"megy"	0.106561445436917
"192"	"például"	"megy"	0.116040945350631
"193"	"esik"	"megy"	0.112734746671561
"194"	"ám"	"megy"	0.117120158623304
"195"	"segít"	"megy"	0.119138311549102
"196"	"hát"	"megy"	0.127610808298786
"197"	"megint"	"megy"	0.111323371397797
"198"	"rendor"	"megy"	0.134654170690841
"199"	"messze"	"megy"	0.109380150911365
"200"	"mer"	"megy"	0.125643406022761
"201"	"megállít"	"megy"	0.127219419889443
"202"	"kicsi"	"megy"	0.125257176619501
"203"	"haza"	"megy"	0.137998509802329
"204"	"környék"	"megy"	0.117399998051728
"205"	"indul"	"megy"	0.103581754935098
"206"	"próbál"	"megy"	0.12197095439401
"207"	"pont"	"megy"	0.132071947751183
"208"	"ahová"	"megy"	0.10454281563012
"209"	"közel"	"megy"	0.112575458546242
"210"	"végül"	"megy"	0.122373820572792
"211"	"szegény"	"megy"	0.124573477506184
"212"	"kötelezo"	"megy"	0.128845485215371
"213"	"úgyhogy"	"megy"	0.138421500137632
"214"	"darab"	"megy"	0.133476770918643
"215"	"bíz"	"megy"	0.142320379701257
"216"	"fal"	"megy"	0.14063890272089
"217"	"kedv"	"megy"	0.127392012561457
"218"	"otthon"	"megy"	0.12822261504694
"219"	"kocsi"	"megy"	0.103728319479572
"220"	"ennyire"	"megy"	0.103923247962651
"221"	"munkás"	"megy"	0.175883037523528
"222"	"tömeg"	"megy"	0.115513164431273
"223"	"leír"	"megy"	0.122170379629524
"224"	"parancs"	"megy"	0.10125637003309
"225"	"történet"	"megy"	0.156092114034829
"226"	"bír"	"megy"	0.101058260644012
"227"	"hegy"	"megy"	0.123633281118088
"228"	"elmagyaráz"	"megy"	0.101683429694278
"229"	"ilyesmi"	"megy"	0.107840892013888
"230"	"elmesél"	"megy"	0.110836302613311
"231"	"jelenet"	"megy"	0.105520892106698
"232"	"calais"	"megy"	0.104107114006231
"233"	"eldönt"	"megy"	0.136569133029518
"234"	"híradó"	"megy"	0.116362149341013
"235"	"körül"	"játék"	0.103313521925554
"236"	"díjas"	"játék"	0.130849911990275
"237"	"nyertes"	"játék"	0.212693783395712
"238"	"címlap"	"játék"	0.118989988816604
"239"	"szörnyu"	"játék"	0.108621153106435
"240"	"piros"	"játék"	0.161164700350753
"241"	"politika"	"játék"	0.105199275882699
"242"	"tegnapi"	"játék"	0.176947700390462
"243"	"hülyeség"	"játék"	0.119532864437342
"244"	"szánt"	"játék"	0.13887426629887
"245"	"polgár"	"játék"	0.149955505261156
"246"	"gonosz"	"játék"	0.120171160230474
"247"	"megy"	"lát"	0.149086725519369
"248"	"gondol"	"lát"	0.113757504457996
"249"	"kis"	"lát"	0.102354407577752
"250"	"is"	"lát"	0.29056078414505
"251"	"régi"	"lát"	0.125251451382415
"252"	"szép"	"lát"	0.129849194889669
"253"	"mond"	"lát"	0.163815827896255
"254"	"jön"	"lát"	0.123716976936859
"255"	"ha"	"lát"	0.16715308939159
"256"	"sot"	"lát"	0.118469910657389
"257"	"ember"	"lát"	0.152161601522925
"258"	"fog"	"lát"	0.170537587971652
"259"	"ido"	"lát"	0.158428098782648
"260"	"hisz"	"lát"	0.13477202487314
"261"	"kéz"	"lát"	0.111206202685126
"262"	"senki"	"lát"	0.10922715454701
"263"	"jár"	"lát"	0.105502313702285
"264"	"él"	"lát"	0.160002604570925
"265"	"mégis"	"lát"	0.14917579943781
"266"	"tudás"	"lát"	0.136902391853114
"267"	"tesz"	"lát"	0.159494002487661
"268"	"dolog"	"lát"	0.125356121369059
"269"	"tart"	"lát"	0.139481580014949
"270"	"akar"	"lát"	0.132141266843515
"271"	"tér"	"lát"	0.103845827250473
"272"	"út"	"lát"	0.11392498358403
"273"	"oldal"	"lát"	0.134532259010126
"274"	"világ"	"lát"	0.154067065964673
"275"	"tud"	"lát"	0.193551589347285
"276"	"nehéz"	"lát"	0.102984096212073
"277"	"szó"	"lát"	0.159576072769819
"278"	"beszél"	"lát"	0.143236120196689
"279"	"élet"	"lát"	0.14334863562794
"280"	"azóta"	"lát"	0.115506446372273
"281"	"megnéz"	"lát"	0.120920639727019
"282"	"érez"	"lát"	0.1123987180559
"283"	"néz"	"lát"	0.121473995511138
"284"	"beszélget"	"lát"	0.128644139653949
"285"	"délután"	"lát"	0.121510116117827
"286"	"különös"	"lát"	0.146633010839835
"287"	"látszik"	"lát"	0.130038860115456
"288"	"lakó"	"lát"	0.133075232074057
"289"	"hangulat"	"lát"	0.112258524856438
"290"	"mutat"	"lát"	0.111859404839009
"291"	"ugyanez"	"lát"	0.138612385685579
"292"	"esik"	"lát"	0.107964580003165
"293"	"bármilyen"	"lát"	0.105834522371515
"294"	"arc"	"lát"	0.120195080977665
"295"	"következik"	"lát"	0.109995420376894
"296"	"tény"	"lát"	0.10261527089906
"297"	"múlt"	"lát"	0.108490376461752
"298"	"jelen"	"lát"	0.112674789643737
"299"	"örökkévalóság"	"lát"	0.173509595070023
"300"	"tole"	"lát"	0.101361098360727
"301"	"igazi"	"lát"	0.103957729891148
"302"	"nyilván"	"lát"	0.109995358185925
"303"	"magyarország"	"lát"	0.13288785081861
"304"	"szem"	"lát"	0.156792700388166
"305"	"soha"	"lát"	0.144056840769507
"306"	"rend"	"lát"	0.110153836943624
"307"	"furcsa"	"lát"	0.129506210583878
"308"	"rajta"	"lát"	0.104761299558499
"309"	"harmadik"	"lát"	0.113078740258792
"310"	"csend"	"lát"	0.138708289335257
"311"	"szomorú"	"lát"	0.144337994494973
"312"	"kor"	"lát"	0.107709127715667
"313"	"fej"	"lát"	0.103536664540505
"314"	"test"	"lát"	0.101710015213751
"315"	"elmélet"	"lát"	0.117669687114755
"316"	"örök"	"lát"	0.107591943827056
"317"	"pápa"	"lát"	0.110758140061453
"318"	"nincsen"	"lát"	0.139352847773762
"319"	"halál"	"lát"	0.154081932585257
"320"	"közt"	"lát"	0.112796114847704
"321"	"felett"	"lát"	0.168526725179804
"322"	"ellenben"	"lát"	0.117556792442921
"323"	"ruha"	"lát"	0.160882080359336
"324"	"róma"	"lát"	0.135271693521345
"325"	"halott"	"lát"	0.155683995970051
"326"	"fa"	"lát"	0.141672601994405
"327"	"vonal"	"lát"	0.114011208748765
"328"	"titok"	"lát"	0.116844951425052
"329"	"sír"	"lát"	0.162674498214411
"330"	"nasca"	"lát"	0.188557102229711
"331"	"évtized"	"irak"	0.110223664086414
"332"	"ország"	"irak"	0.141029808925597
"333"	"szaúd"	"irak"	0.217911941700625
"334"	"arábia"	"irak"	0.202174316442654
"335"	"millió"	"irak"	0.120302555756595
"336"	"vállalat"	"irak"	0.100687615408432
"337"	"közel"	"irak"	0.105485363607339
"338"	"vált"	"irak"	0.108737869942641
"339"	"fölött"	"irak"	0.112252511491909
"340"	"háború"	"irak"	0.279642340751686
"341"	"következtében"	"irak"	0.146973587603999
"342"	"egyesült"	"irak"	0.322399820455983
"343"	"nemzetbiztonsági"	"irak"	0.135005629606848
"344"	"brit"	"irak"	0.109182783753404
"345"	"térség"	"irak"	0.151436771048374
"346"	"fogva"	"irak"	0.120767668003704
"347"	"amerikai"	"irak"	0.11067364661255
"348"	"háborús"	"irak"	0.120466218336925
"349"	"napi"	"irak"	0.122589818802905
"350"	"közvetlen"	"irak"	0.117519636174182
"351"	"olaj"	"irak"	0.441973183451291
"352"	"rezsim"	"irak"	0.157360585343415
"353"	"konfliktus"	"irak"	0.141620772369517
"354"	"származó"	"irak"	0.116366920324076
"355"	"államok"	"irak"	0.320670949368374
"356"	"bush"	"irak"	0.267033757238261
"357"	"iraki"	"irak"	0.564379228083505
"358"	"szíria"	"irak"	0.159910227375704
"359"	"katonai"	"irak"	0.21632783033381
"360"	"isis"	"irak"	0.10396400360779
"361"	"iráni"	"irak"	0.251781338154673
"362"	"irán"	"irak"	0.305460041462899
"363"	"washington"	"irak"	0.184695548983596
"364"	"külpolitika"	"irak"	0.19088014651702
"365"	"szankció"	"irak"	0.133254246579727
"366"	"venezuela"	"irak"	0.172011240418245
"367"	"oil"	"irak"	0.128156622912416
"368"	"évtized"	"súlyos"	0.116447684170129
"369"	"év"	"súlyos"	0.159856642073184
"370"	"helyzet"	"súlyos"	0.146273510322777
"371"	"lakás"	"súlyos"	0.105650148789645
"372"	"kés"	"súlyos"	0.124240532923505
"373"	"elmúlt"	"súlyos"	0.160658917060173
"374"	"támogatás"	"súlyos"	0.17674893154799
"375"	"hat"	"súlyos"	0.10249921055445
"376"	"hall"	"súlyos"	0.124925493206721
"377"	"olvasható"	"súlyos"	0.13943604602474
"378"	"díjas"	"súlyos"	0.103460574624672
"379"	"sért"	"súlyos"	0.145408692110397
"380"	"karrier"	"súlyos"	0.120586208800532
"381"	"hamarosan"	"súlyos"	0.141263516836519
"382"	"tudományos"	"súlyos"	0.109385492424383
"383"	"akadémia"	"súlyos"	0.105545142802057
"384"	"tag"	"súlyos"	0.13182745757641
"385"	"család"	"súlyos"	0.125588150044965
"386"	"óta"	"súlyos"	0.104922758611946
"387"	"forint"	"súlyos"	0.152836973614986
"388"	"betegség"	"súlyos"	0.102042153939237
"389"	"gyermek"	"súlyos"	0.120895222233451
"390"	"jelentos"	"súlyos"	0.147437723061603
"391"	"amint"	"súlyos"	0.12676212169061
"392"	"kapcsolat"	"súlyos"	0.116616336068707
"393"	"buncselekmény"	"súlyos"	0.125950380577695
"394"	"csere"	"súlyos"	0.138260279549725
"395"	"információ"	"súlyos"	0.120443004291408
"396"	"megerosít"	"súlyos"	0.14101968283538
"397"	"rendkívül"	"súlyos"	0.176384881755445
"398"	"niedermüller"	"súlyos"	0.226587997017188
"399"	"zár"	"súlyos"	0.103456194959482
"400"	"kezelés"	"súlyos"	0.105777478378481
"401"	"kár"	"súlyos"	0.104401480181932
"402"	"kezel"	"súlyos"	0.112407906709873
"403"	"hazai"	"súlyos"	0.148327867340292
"404"	"kifejt"	"súlyos"	0.103224619909975
"405"	"demográfiai"	"súlyos"	0.249357314519291
"406"	"következtében"	"súlyos"	0.11619055907681
"407"	"alapuló"	"súlyos"	0.13509638971148
"408"	"elleni"	"súlyos"	0.108187710886842
"409"	"veszélyes"	"súlyos"	0.107489431314886
"410"	"kisebbség"	"súlyos"	0.101211059300243
"411"	"támadás"	"súlyos"	0.104675098247624
"412"	"amiatt"	"súlyos"	0.115055153216457
"413"	"börtön"	"súlyos"	0.113259086365021
"414"	"teher"	"súlyos"	0.112509815773627
"415"	"anyagi"	"súlyos"	0.140020659318384
"416"	"sennels"	"súlyos"	0.129891290073461
"417"	"szankció"	"súlyos"	0.114007159452664
"418"	"döntés"	"következmény"	0.133187397154746
"419"	"ezelott"	"következmény"	0.114497964641651
"420"	"cél"	"következmény"	0.146672633371434
"421"	"helyzet"	"következmény"	0.16066358452324
"422"	"indokol"	"következmény"	0.102173682686717
"423"	"emberi"	"következmény"	0.163911306036286
"424"	"törökország"	"következmény"	0.1199819790246
"425"	"reagál"	"következmény"	0.1053605065791
"426"	"jár"	"következmény"	0.10927759178562
"427"	"közösségi"	"következmény"	0.101009419977439
"428"	"tart"	"következmény"	0.136174916577763
"429"	"rész"	"következmény"	0.140772266566959
"430"	"elv"	"következmény"	0.194509738174123
"431"	"következtetés"	"következmény"	0.116032500816447
"432"	"média"	"következmény"	0.123264250497535
"433"	"jelent"	"következmény"	0.14952229539046
"434"	"követ"	"következmény"	0.120566757041405
"435"	"ok"	"következmény"	0.140196515745675
"436"	"tudós"	"következmény"	0.113452674406275
"437"	"mód"	"következmény"	0.113471771058845
"438"	"gyermek"	"következmény"	0.1130649126197
"439"	"hatalom"	"következmény"	0.106710011622811
"440"	"tekint"	"következmény"	0.129269939173356
"441"	"tény"	"következmény"	0.150539645375488
"442"	"gyakorlati"	"következmény"	0.106108588645714
"443"	"bátor"	"következmény"	0.131514079578692
"444"	"válik"	"következmény"	0.150896614858949
"445"	"tudatos"	"következmény"	0.125265980931288
"446"	"történelmi"	"következmény"	0.13994398465028
"447"	"kihívás"	"következmény"	0.121913475506831
"448"	"független"	"következmény"	0.137247708126933
"449"	"magatartás"	"következmény"	0.108332472848632
"450"	"társadalom"	"következmény"	0.10373738812825
"451"	"levego"	"következmény"	0.183371107275646
"452"	"egyenlo"	"következmény"	0.110610763252552
"453"	"úgynevezett"	"következmény"	0.13253001743315
"454"	"elleni"	"következmény"	0.11070646370438
"455"	"társadalmi"	"következmény"	0.206109195302066
"456"	"nézve"	"következmény"	0.202558509865616
"457"	"kultúra"	"következmény"	0.126300428322333
"458"	"megismer"	"következmény"	0.14165297669836
"459"	"kulturális"	"következmény"	0.187112096099545
"460"	"egyesült"	"következmény"	0.10750611970537
"461"	"párizsi"	"következmény"	0.115949303014402
"462"	"gazdasági"	"következmény"	0.121686019202811
"463"	"viselkedik"	"következmény"	0.10372910789618
"464"	"lehetséges"	"következmény"	0.113875556455536
"465"	"révén"	"következmény"	0.107516626944607
"466"	"bizonyíték"	"következmény"	0.144764466588374
"467"	"meghatározó"	"következmény"	0.142886914292806
"468"	"szenvedés"	"következmény"	0.142886914292806
"469"	"félelem"	"következmény"	0.134538290743435
"470"	"szempont"	"következmény"	0.128436390193245
"471"	"identitás"	"következmény"	0.171816428700698
"472"	"emberiség"	"következmény"	0.142038955918028
"473"	"akarat"	"következmény"	0.11066447234979
"474"	"elony"	"következmény"	0.104684243424026
"475"	"fok"	"következmény"	0.144433267059163
"476"	"államok"	"következmény"	0.105580387542568
"477"	"megállapít"	"következmény"	0.158000277770396
"478"	"természet"	"következmény"	0.153303541696633
"479"	"pakisztáni"	"következmény"	0.117026056084613
"480"	"egyezmény"	"következmény"	0.153586940825742
"481"	"következmény"	"döntés"	0.133187397154746
"482"	"indokol"	"döntés"	0.111303880155135
"483"	"létezik"	"döntés"	0.102164359572903
"484"	"közlemény"	"döntés"	0.125781234883319
"485"	"fogalmaz"	"döntés"	0.115298666836296
"486"	"szakember"	"döntés"	0.137963807100395
"487"	"felelosség"	"döntés"	0.126298360135532
"488"	"hangsúlyoz"	"döntés"	0.104013700346625
"489"	"lehetoség"	"döntés"	0.139623929128544
"490"	"szóló"	"döntés"	0.116647883578725
"491"	"bíróság"	"döntés"	0.281456652259072
"492"	"panasz"	"döntés"	0.113916952639373
"493"	"figyelem"	"döntés"	0.117727784598429
"494"	"ok"	"döntés"	0.122877099605372
"495"	"tudós"	"döntés"	0.140326844344418
"496"	"önkormányzat"	"döntés"	0.145282421655275
"497"	"hoz"	"döntés"	0.197921192379724
"498"	"hatály"	"döntés"	0.14962576274432
"499"	"jogi"	"döntés"	0.168245557472443
"500"	"valóban"	"döntés"	0.148556094204417
"501"	"ítélet"	"döntés"	0.138055390293102
"502"	"szerep"	"döntés"	0.115701563179561
"503"	"dönt"	"döntés"	0.20805079070771
"504"	"folyamat"	"döntés"	0.127817026675057
"505"	"bíró"	"döntés"	0.155928132950319
"506"	"vállalkozás"	"döntés"	0.100289190992302
"507"	"fenn"	"döntés"	0.108529869762489
"508"	"álláspont"	"döntés"	0.148834631688246
"509"	"érdekel"	"döntés"	0.148619416248119
"510"	"következo"	"döntés"	0.100289831910473
"511"	"termék"	"döntés"	0.166444099409553
"512"	"tényleges"	"döntés"	0.120702158862901
"513"	"jelentoség"	"döntés"	0.124819507333721
"514"	"földi"	"döntés"	0.207473091627677
"515"	"zoltán"	"döntés"	0.100024952002226
"516"	"mindössze"	"döntés"	0.112096377693646
"517"	"független"	"döntés"	0.183677969940884
"518"	"levego"	"döntés"	0.154159817776617
"519"	"kötelezo"	"döntés"	0.14516528949925
"520"	"leheto"	"döntés"	0.10320043676418
"521"	"globális"	"döntés"	0.163492562694665
"522"	"spanyol"	"döntés"	0.211239316223226
"523"	"gyökér"	"döntés"	0.111688555857963
"524"	"párizsi"	"döntés"	0.15814836614375
"525"	"befolyásol"	"döntés"	0.148545822420256
"526"	"trump"	"döntés"	0.114352610809178
"527"	"folyik"	"döntés"	0.148208115527534
"528"	"hatás"	"döntés"	0.134327333120539
"529"	"végso"	"döntés"	0.112058237962385
"530"	"hivatalos"	"döntés"	0.140497362920763
"531"	"rendelet"	"döntés"	0.190789760538697
"532"	"szempont"	"döntés"	0.148195880036158
"533"	"semmiféle"	"döntés"	0.109073373465068
"534"	"köztársaság"	"döntés"	0.11064307254821
"535"	"hatalmas"	"döntés"	0.102992212409173
"536"	"emberiség"	"döntés"	0.157520048517183
"537"	"sör"	"döntés"	0.167174492798891
"538"	"felso"	"döntés"	0.225290308755524
"539"	"alakít"	"döntés"	0.102002127441333
"540"	"bevándorlási"	"döntés"	0.111397927411858
"541"	"donald"	"döntés"	0.113953319758907
"542"	"természet"	"döntés"	0.207565525555044
"543"	"egyezmény"	"döntés"	0.165664159618941
"544"	"állampolgár"	"tetszik"	0.111579140819948
"545"	"durva"	"tetszik"	0.100658843825716
"546"	"demokrácia"	"tetszik"	0.127466493069061
"547"	"csökkent"	"tetszik"	0.154815851500024
"548"	"eljárás"	"tetszik"	0.105326348411854
"549"	"véletlen"	"tetszik"	0.26930969467053
"550"	"pláne"	"tetszik"	0.119023871776101
"551"	"integráció"	"tetszik"	0.102953292067736
"552"	"darab"	"tetszik"	0.10048165521139
"553"	"civilizáció"	"tetszik"	0.157125695460474
"554"	"otthon"	"tetszik"	0.109671775199311
"555"	"hihetetlen"	"tetszik"	0.105259133688063
"556"	"büntetés"	"tetszik"	0.109070526359764
"557"	"jogvédo"	"tetszik"	0.141086552482887
"558"	"méghozzá"	"tetszik"	0.127111148332775
"559"	"felfog"	"tetszik"	0.110368656668717
"560"	"ág"	"tetszik"	0.205730967006237
"561"	"megismer"	"tetszik"	0.117930642463549
"562"	"figura"	"tetszik"	0.100048972412323
"563"	"nobel"	"tetszik"	0.159366217578062
"564"	"elfogadhatatlan"	"tetszik"	0.111912175901767
"565"	"végtelen"	"tetszik"	0.107090475855615
"566"	"elit"	"tetszik"	0.131428095900463
"567"	"költ"	"tetszik"	0.134696819413122
"568"	"keresztény"	"muszlim"	0.166004288612212
"569"	"szomszéd"	"muszlim"	0.17794295967107
"570"	"ezelott"	"muszlim"	0.115847887849834
"571"	"iszlám"	"muszlim"	0.286735937623936
"572"	"korán"	"muszlim"	0.361026948224296
"573"	"számos"	"muszlim"	0.123367915019968
"574"	"lakás"	"muszlim"	0.10022552472598
"575"	"allah"	"muszlim"	0.310500639955129
"576"	"bevándorló"	"muszlim"	0.133271129780235
"577"	"támadó"	"muszlim"	0.100588556304804
"578"	"követo"	"muszlim"	0.121360529178302
"579"	"tilt"	"muszlim"	0.134400787271089
"580"	"tökéletes"	"muszlim"	0.113557840207029
"581"	"párhuzamos"	"muszlim"	0.143186786719084
"582"	"zsidó"	"muszlim"	0.130979504441776
"583"	"azaz"	"muszlim"	0.185341332668729
"584"	"dr"	"muszlim"	0.13242278096172
"585"	"nyílt"	"muszlim"	0.107846217951428
